,countyfip,population,above_65,percent_above_65,change_pop,change_old_pop,M_population,M_above_65,M_percent_above_65,M_diff
1108,12037,11705,2333,0.19931653139683897,284,3.197546902718535,11989,2336.1975469027184,0.19486175218139282,-0.004454779215446153
1117,12051,38376,4894,0.12752762143006047,-315,52.167027529780995,38061,4946.167027529781,0.1299536803428649,0.002426058912804424
1124,12086,2664418,406136,0.15242953620640606,-46259,-6610.622147941084,2618159,399525.3778520589,0.15259782841762434,0.00016829221121827942
1127,12043,13420,3475,0.2589418777943368,868,89.60853279541351,14288,3564.6085327954133,0.24948268006686825,-0.00945919772746856
1135,12035,102917,29126,0.2830047514016149,3612,11.488398856469821,106529,29137.48839885647,0.27351696156780286,-0.009487789833812044
1173,12079,18560,3353,0.1806573275862069,-85,-28.627962083130107,18475,3324.37203791687,0.17993894657195506,-0.0007183810142518399
1181,12007,26919,4698,0.17452357071213642,588,115.93289875463856,27507,4813.932898754639,0.17500755803085175,0.0004839873187153232
1228,12123,22582,4009,0.1775307767248251,895,162.860049990406,23477,4171.860049990406,0.17769987860418307,0.00016910187935798016
1337,12109,218362,39447,0.1806495635687528,10553,1166.3268068651003,228915,40613.3268068651,0.17741662541495795,-0.0032329381537948565
1379,12003,27312,3526,0.12910076157000586,2012,352.68083482954194,29324,3878.6808348295417,0.1322698415915135,0.0031690800215076476
1409,12045,15851,2831,0.17860071919752696,915,149.57799658708828,16766,2980.5779965870884,0.1777751399610574,-0.0008255792364695591
1435,12063,48721,8641,0.17735678660126022,661,104.35316352475463,49382,8745.353163524755,0.17709596945293335,-0.0002608171483268751
1463,12069,317586,82382,0.25940060330115305,9413,-227.32236603409737,326999,82154.6776339659,0.25123831459412993,-0.008162288707023124
1607,12121,43653,8758,0.20062767736467138,533,58.00934350261069,44186,8816.00934350261,0.19952042147971327,-0.0011072558849581082
1627,12077,8285,983,0.11864815932407967,-310,20.05610629741818,7975,1003.0561062974182,0.12577506035077343,0.007126901026693763
1662,12131,61528,11557,0.18783318164087895,2044,183.69121565517239,63572,11740.691215655172,0.18468337028338216,-0.0031498113574967845
1685,12119,113589,60323,0.5310637473699038,2344,-2188.281699881553,115933,58134.718300118446,0.5014509958348222,-0.029612751535081583
1742,12115,398011,135332,0.3400207531952634,4762,-2665.1934927138177,402773,132666.80650728618,0.32938356470589186,-0.010637188489371563
1762,12073,284788,32313,0.11346334817478265,7636,2598.3323048397306,292424,34911.33230483973,0.11938600219147447,0.005922654016691814
1765,12019,200346,28434,0.14192447066574826,10045,1733.9266380907056,210391,30167.926638090707,0.14338981533473727,0.0014653446689890104
1816,12105,637691,124105,0.19461620126362142,12650,876.6557383408792,650341,124981.65573834088,0.19217865049003657,-0.0024375507735848456
