,placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
100,223-222@5pw-hrh-mp9,,Advance America,SG_BRAND_dc0bbdb488807ce,Advance America,Nondepository Credit Intermediation,Consumer Lending,522291.0,41.369466,-88.834393,2620 Columbus St Ste 200,Ottawa,IL,61350,US,18154319060.0,,,,2020-08,2019-07,POLYGON
101,222-222@5pt-7xb-33q,,Cedargate Healthcare,,,Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),623110.0,36.766014,-90.426714,2350 Kanell Blvd,Poplar Bluff,MO,63901,US,15737850188.0,,,,,2019-07,POLYGON
102,222-222@5qk-jgj-ty9,,Timnath Beerwerks,,,Beverage Manufacturing,Breweries,312120.0,40.529065,-104.981898,4138 Main Street,Timnath,CO,80547,US,19709995751.0,"{ ""Mon"": [], ""Tue"": [[""12:00"", ""20:00""]], ""Wed"": [[""12:00"", ""20:00""]], ""Thu"": [[""12:00"", ""20:00""]], ""Fri"": [[""12:00"", ""21:00""]], ""Sat"": [[""12:00"", ""21:00""]], ""Sun"": [[""12:00"", ""20:00""]] }",,,,2019-07,POLYGON
103,228-222@8gn-jcs-j35,,Ink Eraser Tattoo Removal Columbus GA,,,Personal Care Services,Other Personal Care Services,812199.0,32.524674,-84.959339,5636 Whitesville Rd Ste B2,Columbus,GA,31904,US,,,,,,2019-07,POLYGON
104,222-222@8gb-76y-yvz,,Auto Sport Select,,,Automobile Dealers,Used Car Dealers,441120.0,33.913544,-84.774703,833 Charles Hardy Pkwy,Dallas,GA,30157,US,16784012989.0,"{ ""Mon"": [[""0:00"", ""6:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""0:00"", ""6:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [[""10:00"", ""16:00""]] }",,,,2019-07,POLYGON
105,222-222@8tk-qyg-g8v,,Sew Happy,,,"Sporting Goods, Hobby, and Musical Instrument Stores","Sewing, Needlework, and Piece Goods Stores",451130.0,32.959065,-105.742893,510 Burro Ave,Cloudcroft,NM,88317,US,15756826000.0,"{ ""Mon"": [], ""Tue"": [[""10:00"", ""16:00""]], ""Wed"": [[""10:00"", ""16:00""]], ""Thu"": [[""10:00"", ""16:00""]], ""Fri"": [[""10:00"", ""16:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }",,,,2019-07,POLYGON
106,222-222@8gp-44p-7wk,,Alyssha B Powers DMD,,,Offices of Dentists,Offices of Dentists,621210.0,30.102598,-81.518619,70 Durbin Pavilion Dr Ste 112,Saint Johns,FL,32259,US,,,,,,2019-07,POLYGON
107,222-222@8fc-tfb-f2k,,Abbey Carpet and Floor,SG_BRAND_faa9096ceee3f8943ec22bde486bd15f,Abbey Carpet and Floor,Home Furnishings Stores,Floor Covering Stores,442210.0,29.967351,-93.972848,3161 Nall St,Port Neches,TX,77651,US,14097276469.0,,,,,,POLYGON
108,223-222@8gn-nkd-vs5,,Express Oil Change,SG_BRAND_9c7014ce69e620eae4f9650e64c1c9bb,Express Oil Change,Automotive Repair and Maintenance,General Automotive Repair,811111.0,32.365294,-86.21133,1101 Eastern Blvd,Montgomery,AL,36117,US,13342798419.0,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [] }",,,,2019-07,POLYGON
109,zzw-222@5wd-f9t-5pv,,Stockman's Restaurant & Lounge,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,45.425778,-117.278398,111 W Main St,Enterprise,OR,97828,US,15414263300.0,,"Bar or Pub,Cocktail Lounge,Brunch,Late Night",,2020-01,2019-07,POLYGON
110,228-222@628-xm6-hh5,,Biestek John S Dr Optmtrst,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,41.535167,-72.798257,35 Pleasant St Ste 2C,Meriden,CT,6450,US,,,,,,2019-07,POLYGON
111,zzy-222@63d-786-rff,,St Stephen Lutheran Church,,,Religious Organizations,Religious Organizations,813110.0,40.400409,-80.067507,55 Forsythe Rd,Carnegie,PA,15106,US,14122795868.0,,,,,2019-07,POLYGON
112,222-222@627-w2h-r6k,225-222@627-w2h-r49,Wallerstein Seth DMD,,,Offices of Dentists,Offices of Dentists,621210.0,40.511281,-74.363874,2678 Woodbridge Ave,Edison,NJ,8837,US,17324940700.0,"{ ""Mon"": [[""8:30"", ""17:30""]], ""Tue"": [[""8:30"", ""16:00""]], ""Wed"": [], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [[""8:30"", ""15:00""]], ""Sat"": [[""8:30"", ""12:30""]], ""Sun"": [] }",,,,2019-07,POLYGON
113,223-222@8gf-nkm-hh5,,Salon Bella Dona,,,Personal Care Services,Beauty Salons,812112.0,36.389181,-82.358717,4156 Bristol Hwy Ste 2,Johnson City,TN,37601,US,14232820120.0,"{ ""Mon"": [[""10:00"", ""15:00""]], ""Tue"": [[""10:00"", ""17:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""16:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }",,,,2019-07,POLYGON
